Значения x  ;  Значения y  для первой функции
-4 ; 2.78901
-3.5 ; -1.09625
-3 ; -2.17013
-2.5 ; -1.88282
-2 ; -1.18923
-1.5 ; -0.567427
-1 ; -0.169289
-0.5 ; 0.0236581
0 ; 0.0882353
0.5 ; 0.0971838
1 ; 0.0946755
1.5 ; 0.0949894
2 ; 0.0923393
2.5 ; 0.0737657
3 ; 0.0302375
3.5 ; -0.0366277
4 ; -0.113174
4.5 ; -0.17728
5 ; -0.205394
5.5 ; -0.180739
6 ; -0.100099
6.5 ; 0.0230414
7 ; 0.160275
7.5 ; 0.274834
8 ; 0.331406


Значения x  ;  Значения y  для второй функции
-4 ; 0.756802
-3.5 ; 0.350783
-3 ; -0.14112
-2.5 ; -0.598472
-2 ; -0.909297
-1.5 ; -0.997495
-1 ; -0.841471
-0.5 ; -0.479426
0 ; 0
0.5 ; 0.479426
1 ; 0.841471
1.5 ; 0.997495
2 ; 0.909297
2.5 ; 0.598472
3 ; 0.14112
3.5 ; -0.350783
4 ; -0.756802
4.5 ; -0.97753
5 ; -0.958924
5.5 ; -0.70554
6 ; -0.279415
6.5 ; 0.21512
7 ; 0.656987
7.5 ; 0.938
8 ; 0.989358
